English,Kiswahili,Domain
"Abdullahi Yasin Warsame, 42, told Radio Ergo that his household of 13 people relied entirely on food distributions and a small cash stipend that suddenly stopped in February.","Abdullahi Yasin Warsame, 42, aliiambia Radio Ergo kwamba kaya yake ya watu 13 ilitegemea kabisa usambazaji wa chakula na posho ndogo ya pesa ambayo ilikoma ghafla mnamo Februari.",Disaster/Health
He and his family were removed from the eligibility list after being classified by the authorities as having Kenyan citizenship.,Yeye na familia yake waliondolewa kwenye orodha ya wanaostahiki baada ya kuainishwa na mamlaka kuwa na uraia wa Kenya.,Governance
"Abdullahi denies this, saying neither he, his wife, nor his mother are Kenyan citizens, and that his children are all still minors.","Abdullahi anakanusha hili, akisema yeye, mke wake, wala mama yake si raia wa Kenya, na kwamba watoto wake wote bado ni watoto.",Governance
"He said he has not received a clear explanation, despite submitting many complaints to authorities and aid agency offices.","Alisema hajapata maelezo ya kueleweka, licha ya kuwasilisha malalamiko mengi kwa mamlaka na ofisi za mashirika ya misaada.",Disaster/Health
"When you lose what you had, you realise what it meant to you.","Unapopoteza ulichokuwa nacho, unatambua maana yake kwako.",Disaster/Health
We had no other source of income.,Hatukuwa na chanzo kingine cha mapato.,Disaster/Health
"When it was taken away and we didn’t know why, it caused us a lot of distress,” he said.","Ilipochukuliwa na hatukujua kwa nini, ilituletea dhiki nyingi, ""alisema.",Disaster/Health
"His family includes 10 children under the age of 18, and his elderly disabled mother, who has diabetes and high blood pressure.","Familia yake inajumuisha watoto 10 walio na umri wa chini ya miaka 18, na mama yake mzee mlemavu, ambaye ana kisukari na shinikizo la damu.",Disaster/Health
"They used to receive 110 kilograms of rice, 40 kilograms of beans, 15 litres of cooking oil, as well as $43 in cash every two months that kept them going.","Walikuwa wakipokea kilo 110 za mchele, kilo 40 za maharagwe, lita 15 za mafuta ya kupikia, pamoja na pesa taslimu dola 43 kila baada ya miezi miwili ambayo iliwafanya waendelee.",Disaster/Health
He said his family had been assessed last year and classified as being vulnerable and in need of continued assistance.,Alisema familia yake ilifanyiwa tathmini mwaka jana na kuainishwa kuwa ni dhaifu na inahitaji msaada endelevu.,Disaster/Health
"Now, he says, the family survives largely on help from neighbours, who themselves have limited means.","Sasa, anasema, familia inaishi zaidi kwa msaada kutoka kwa majirani, ambao wenyewe wana uwezo mdogo.",Disaster/Health
"Abdullahi works as a night guard, earning about $60 a month.","Abdullahi anafanya kazi kama mlinzi wa usiku, akipata dola 60 kwa mwezi.",Disaster/Health
"He says the income is too little to cover food, basic needs, and the fees for five of his children who were attending Koranic school costing $35 a month.","Anasema kipato ni kidogo sana kuweza kugharamia chakula, mahitaji ya kimsingi, na ada kwa watoto wake watano waliokuwa wakisoma shule ya Kurani inayogharimu dola 35 kwa mwezi.",Education
He has repeatedly visited aid agency offices seeking answers – but often can’t even gain access to the guarded compounds.,Ametembelea mara kwa mara ofisi za mashirika ya misaada kutafuta majibu - lakini mara nyingi hawezi hata kupata misombo ya ulinzi.,Disaster/Health
"We complain about lack of food, but we are told the [aid distribution] card has been removed from the system, and we do not know the reason,” he told Radio Ergo.","Tunalalamika kuhusu ukosefu wa chakula, lakini tunaambiwa kadi [ya usambazaji wa misaada] imeondolewa kwenye mfumo, na hatujui sababu,” aliiambia Radio Ergo.",Disaster/Health
"Abdullahi fled conflict in 1994 in rural Lower Juba region in southern Somalia, where his family had depended on livestock that they have lost.","Abdullahi alikimbia vita mwaka 1994 katika eneo la vijijini la Juba ya Chini kusini mwa Somalia, ambapo familia yake ilikuwa ikitegemea mifugo ambayo imepoteza.",Agriculture
"Kenya’s Department of Refugee Services (DRS) removed about 39,000 people from entitlement to assistance in February, following a verification exercise.","Idara ya Huduma kwa Wakimbizi ya Kenya (DRS) iliwaondoa takriban watu 39,000 kutoka kwa haki ya kupata usaidizi mwezi Februari, kufuatia zoezi la uhakiki.",Disaster/Health
Full details of those removed and the reasons were not available for this report.,Maelezo kamili ya walioondolewa na sababu hazikupatikana kwa ripoti hii.,Disaster/Health
Camp leaders say some of those removed were reclassified by DRS as Kenyan citizens.,Viongozi wa kambi hiyo wanasema baadhi ya walioondolewa waliwekwa bayana na DRS kuwa raia wa Kenya.,Governance
Many of those affected had lived in the camps for more than 30 years.,Wengi wa walioathiriwa walikuwa wameishi katika kambi hizo kwa zaidi ya miaka 30.,Disaster/Health
"Abshiro Adan Ibrahim, 50, applied for citizenship and became a Kenyan citizen in 2025 after living in the Dadaab refugee camps for 32 years.","Abshiro Adan Ibrahim, 50, aliomba uraia na kuwa raia wa Kenya mnamo 2025 baada ya kuishi katika kambi za wakimbizi za Dadaab kwa miaka 32.",Governance
She thought this would open better opportunities for her.,Alifikiri hii ingemfungulia fursa bora zaidi.,Disaster/Health
"She continued receiving 100 kilograms of food, 16 litres of cooking oil, and $30 in bi-monthly cash support after her citizenship was granted.","Aliendelea kupokea kilo 100 za chakula, lita 16 za mafuta ya kupikia, na dola 30 za usaidizi wa kila mwezi wa pesa taslimu baada ya uraia wake kupewa.",Governance
"But in February, her family of eight was on the DRS list of those cut off from assistance.","Lakini mwezi Februari, familia yake ya watu wanane ilikuwa kwenye orodha ya DRS ya wale waliokatishwa msaada.",Disaster/Health
You can imagine a family of eight losing their food support.,Unaweza kufikiria familia ya watu wanane ikipoteza msaada wao wa chakula.,Disaster/Health
"Neighbours who receive food bring us some, and others bring oil.","Majirani wanaopokea chakula hutuletea, na wengine huleta mafuta.",Disaster/Health
"Sometimes women in the neighbourhood collect about 15 kilos of rice and oil for us,” she said.","Wakati mwingine wanawake katika ujirani hukusanya takriban kilo 15 za mchele na mafuta kwa ajili yetu,” alisema.",Disaster/Health
"Abshiro had hoped that acquiring citizenship would help her find work to support her family, as the aid they received was not enough.","Abshiro alikuwa na matumaini kwamba kupata uraia kungemsaidia kupata kazi ya kukimu familia yake, kwani msaada waliopokea haukutosha.",Governance
"She now regrets the decision, saying it has left her family without the support they depended on.","Sasa anajutia uamuzi huo, akisema umeiacha familia yake bila usaidizi walioutegemea.",Disaster/Health
I took that step for my five children who depend on me.,Nilichukua hatua hiyo kwa watoto wangu watano wanaonitegemea.,Disaster/Health
