Source_PDF,English,PSA_Probability
bulk_notice_35_Press-release-Cash-Accrual.pdf,"As the complexity of public finances grows, these limitations become more pronounced.",0.9793
bulk_notice_34_Press-release-Cash-Accrual_0.pdf,"As the complexity of public finances grows, these limitations become more pronounced.",0.9793
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,Thank You and May God Bless Kenya.,0.9727
bulk_notice_36_VIRTUAL-ASSET-SERVICE-PROVIDERS-BILL-2024.pdf,"The relevant regulatory authorities shall, in exercising their powers and in performing their functions under this Act, be guided by the following principles— (a) to ensure financial stability in Kenya; (b) to ensure market integrity in Kenya; (c) to foster innovation and maintain fairness, transparency and efficiency in the virtual assets sector in Kenya; and (d) to prevent, detect and restrain conduct that causes or may cause damage to the financial reputation of Kenya.",0.9689
bulk_notice_29_Public-Notice-Legislative-Reforms-for-the-improvement-of-the-economic-situation.pdf,"310833 NAIROBI Telephone: 2252299 PUBLIC NOTICE INVITATION FOR SUBMISSIONS ON LEGISLATIVE REFORMS FOR IMPROVEMENT OF THE CURRENT ECONOMIC SITUATION WHEREAS Article 43 of the Constitution confers all persons with economic and social rights to healthcare, housing, water, sanitation, education , adequate food and social security; WHEREAS Article 174 of the Constitution provides for the objects of devolution which include to promote social and economic development, provision of services and to ensure equitable sharing of national and local resources throughout Kenya; AND WHEREAS Article 201(a) of the Constitution on the principles of public finance requires that there should be openness and accountability, including public participation, in financial matters; FURTHER WHEREAS Article 232(1)(d) of the Constitution requires involvement of the people in the process of policy making; NOTING section 35(2) of the Public Finance Management Act (Cap.",0.9609
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker , the Government will also undertake the following targeted strategic interventions to support economic transformation: ▪ First, continue to maintain macroeconomic stability and enhance security to foster a secure and conducive business environment 22 and protection of Kenyans and their properties; ▪ Second, scale up development of critical infrastructure in the country such as roads, rail, air and sea ports, energy and water to reduce the cost of doing business and ease movement of people and goods as well as promote competitiveness; ▪ Third, enhance investment in key economic sectors for broad based sustainable growth by promoting agricultural transformation, growth in manufacturing, environmental conservation and climate change mitigation, stimulating growth in tourism, and sustainable land use and management; ▪ Fourth, enhance human capital development through investment in health, 23 education and appropriate social safety nets for the vulnerable population for improved social and economic outcomes; ▪ Fifth, support the youth, women and persons living with disability through Government funded empowerment programs that leverage on partnerships with private sector organizations; ▪ Sixth, support County Governments through transfer of sharable revenues to strengthen their systems and capacity in service delivery; and, ▪ Lastly, implement various policy, legal and institutional reforms to enhance efficiency in public service delivery.",0.9585
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,"This includes: Ksh 67.4 billion Affordable and Social Housing & Social Physical Infrastructure; Ksh 11.3 billion Kenya Informal Settlement Improvement Project-Phase II; Ksh 1.1 billion Construction of Markets; Ksh 1.0 billion Construction of Housing Units for National Police and Kenya Prisons; Ksh 876 million Maintenance of Government Pool Houses; Ksh 496 million Construction of Foot Bridges; and Ksh 444 million Construction of County Headquarters To deliver Universal Health Coverage, the Government embarked on various interventions to: i) provide fully public financed primary health care system, an emergency care fund and health insurance fund that covers all Kenyans, ii) install digital health management information system, iii) set up a Fund for improving health facilities; iv) set up an Emergency Medical Treatment Fund, iv) establish a National Insurance Fund that covers all Kenyans, and v) avail medical staff who would deliver Universal Health Coverage.",0.9578
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"Som e of these initiatives include: the Kenya Youth Employment and Opportunities Project (KYEOP); the Stawisha SME Mashinani initiative; County Governments enterprise funds ; incubation, innovation and common user facilities through organizations like Kenya Industrial, Research and Development Institute (KIRDI), Kenya Industrial Estates (KIE), Kenya Bureau of Standards (KEBS); and Mi cro Small Enterprises Authority (MSEA).",0.9447
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Plant Health Inspectorate Services 21.08.2024 9:30 a.m.,0.9409
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, to support infrastructure development and ensure safe learning in our schools, I have proposed an allocation of: Ksh 3.2 76 billion for Primary and Secondary Schools’ infrastructure; Ksh 1 billion for construction of class rooms for Junior Secondary Schools ; and Ksh 2.3 billion for construction and equipping of Technical Training Institutes and Vocational Training Centres.",0.9407
