English,Kiswahili,Domain
Narok County: Drought Early Warning Bulletin for July 2024,Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2024,Disaster/Health
Campaign encouraging edible oil producers to reduce sodium content through voluntary pledge scheme.,Kampeni ya kuwahimiza wazalishaji wa mafuta ya kula kupunguza kiwango cha sodiamu kupitia mpango wa ahadi ya hiari.,Health
"The event, held at Gilgil Stadium, was streamed live on KDF platforms to promote transparency and educate the public on the recruitment process.","Hafla hiyo, iliyofanyika katika Uwanja wa Gilgil, ilirushwa moja kwa moja kwenye majukwaa ya KDF ili kukuza uwazi na kuelimisha umma kuhusu mchakato wa kuajiri.",Governance
"For Makena, moments like this reflect the importance of reaching women wherever they are.","Kwa Makena, nyakati kama hizi zinaonyesha umuhimu wa kuwafikia wanawake popote walipo.",Disaster/Health
Proponents argue that genetic engineering has the capability to resolve or mitigate many of the most critical problems facing agriculture: conservation of ...,Watetezi wanasema kwamba uhandisi wa kijenetiki una uwezo wa kutatua au kupunguza matatizo mengi muhimu yanayokabili kilimo: uhifadhi wa ...,Agriculture
Strengthening Humanitarian Ecosystems through Local Leadership and the GOCA Initiative in Kenya,Kuimarisha Mifumo ya Kibinadamu kupitia Uongozi wa Mitaa na Mpango wa GOCA nchini Kenya,Disaster/Health
Scalable and sustainable primary HIV prevention models for people from key populations,Mitindo ya kimsingi na endelevu ya kuzuia VVU kwa watu kutoka makundi muhimu,Disaster/Health
"Free uniforms for 600,000 Grade 7 learners ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ collect from school starting Monday!","Sare za bure kwa wanafunzi 600,000 wa Darasa la 7 âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ zilizokusanywa kutoka shuleni kuanzia Jumatatu!",Education
Ministry updating training module  to strengthen response to malnutrition at community level.,Wizara inasasisha moduli ya mafunzo ili kuimarisha mwitikio wa utapiamlo katika ngazi ya jamii.,Health
Anticipatory Early Action: Considering Responsive Community Targeted Mental Health Intervention to Complex Climate Change Impacts,Hatua ya Mapema ya Kutarajia: Kuzingatia Uingiliaji wa Jamii Yenye Mwitikio Unaolengwa wa Afya ya Akili ili Kuchanganya Athari za Mabadiliko ya Tabianchi.,Disaster/Health
Free voter education WhatsApp bot launched ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ save 0111222333 and type HI now!,Boti ya elimu ya mpiga kura ya WhatsApp imezinduliwa âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ hifadhi 0111222333 na andika HI sasa!,Education
Assess vocational outcomes 2025.,Tathmini matokeo ya ufundi 2025.,Education
Don't use your phone while walking on the road! Look both ways before crossing the road.,Usitumie simu yako unapotembea barabarani! Angalia pande zote mbili kabla ya kuvuka barabara.,Security
From Trauma to Triumph: Kenyan Women’s Courageous Battle Against Female Genital Mutilation,Kutoka Kiwewe Hadi Ushindi: Vita vya Ujasiri vya Wanawake wa Kenya Dhidi ya Ukeketaji,Disaster/Health
Distributed through kiosks and WhatsApp,Inasambazwa kupitia vibanda na WhatsApp,Education
Wash hands daily! Prevent cholera with proper hygiene.,Osha mikono kila siku! Zuia kipindupindu kwa usafi unaofaa.,Education
Climate Risk Perception and Adoption of Sustainable Agricultural Practices: Insights from Kenya’s Central Highlands (December 2025),Mtazamo wa Hatari ya Hali ya Hewa na Kupitishwa kwa Mbinu Endelevu za Kilimo: Maarifa kutoka Nyanda za Juu za Kenya (Desemba 2025),Disaster/Health
KOICA and WFP strengthen climate resilience and food security for vulnerable families in East Africa,KOICA na WFP zinaimarisha ustahimilivu wa hali ya hewa na usalama wa chakula kwa familia zilizo hatarini katika Afrika Mashariki,Disaster/Health
"To end AIDS, communities mobilize to engage men and boys","Ili kukomesha UKIMWI, jamii huhamasishwa kuwashirikisha wanaume na wavulana",Disaster/Health
Implement strict biosecurity measures on your poultry unit to prevent the introduction and spread of pests and diseases affecting poultry.,Tekeleza hatua kali za usalama wa kibiolojia kwenye kitengo chako cha kuku ili kuzuia kuanzishwa na kuenea kwa wadudu na magonjwa yanayoathiri kuku.,Agriculture
